city,name,region,latitude,longitude
100_01_blagoevgrad,Blagoevgrad,100_01,42.022465,23.094753
100_01_dupnica,Dupnica,100_01,42.262464,23.108754
100_01_kyustendil,Kyustendil,100_01,42.281243,22.688237
100_01_sofia,Sofia,100_01,42.697624,23.322292
100_02_burgas,Burgas,100_02,42.497677,27.470025
100_02_pomorie,Pomorie,100_02,42.556029,27.641380
100_02_sliven,Sliven,100_02,42.681730,26.315505
100_02_yambol,Yambol,100_02,42.483768,26.510771
100_03_dobrich,Dobrich,100_03,43.569022,27.827242
100_03_varna,Varna,100_03,43.216645,27.911805
100_04_gabrovo,Gabrovo,100_04,42.874224,25.318937
100_04_lovech,Lovech,100_04,43.134838,24.717262
100_04_pleven,Pleven,100_04,43.408239,24.620304
100_04_veliko-tarnovo,Veliko-tarnovo,100_04,43.078556,25.627157
100_05_montana,Montana,100_05,43.408584,23.225697
100_05_vidin,Vidin,100_05,43.993332,22.875761
100_05_vratsa,Vratsa,100_05,43.203849,23.548784
100_06_karlovo,Karlovo,100_06,42.643349,24.807227
100_06_plovdiv,Plovdiv,100_06,42.143840,24.749561
100_06_smolyan,Smolyan,100_06,41.574812,24.710876
100_07_razgrad,Razgrad,100_07,43.525002,26.523126
100_07_ruse,Ruse,100_07,43.849378,25.954253
100_07_silistra,Silistra,100_07,44.117107,27.260722
100_07_turgovishte,Turgovishte,100_07,43.247125,26.572818
100_08_pernik,Pernik,100_08,42.610232,23.032137
100_08_petrich,Petrich,100_08,41.398171,23.206912
100_09_dimitrovgrad,Dimitrovgrad,100_09,42.060271,25.593334
100_09_haskovo,Haskovo,100_09,41.931276,25.557212
100_09_kardzali,Kardzali,100_09,41.642746,25.368718
100_09_kazanluk,Kazanluk,100_09,42.618717,25.394456
100_09_stara-zagora,Stara-zagora,100_09,42.423916,25.624902
100_09_svilengrad,Svilengrad,100_09,41.765377,26.203318
124_ab_acme,Acme,124_ab,51.497431,-113.506868
124_ab_airdrie,Airdrie,124_ab,51.287806,-114.009612
124_ab_athabasca,Athabasca,124_ab,54.715812,-113.281787
124_ab_banff,Banff,124_ab,51.178056,-115.571944
124_ab_barrhead,Barrhead,124_ab,54.123399,-114.401548
124_ab_bonnyville,Bonnyville,124_ab,54.266667,-110.750000
124_ab_bow-island,Bow-island,124_ab,49.870847,-111.359932
124_ab_brooks,Brooks,124_ab,50.567619,-111.894402
124_ab_calgary,Calgary,124_ab,51.045000,-114.057222
124_ab_camrose,Camrose,124_ab,53.017376,-112.833267
124_ab_canmore,Canmore,124_ab,51.086985,-115.346814
124_ab_cold-lake,Cold-lake,124_ab,54.411250,-110.204970
124_ab_drayton-valley,Drayton-valley,124_ab,53.220383,-114.976301
124_ab_drumheller,Drumheller,124_ab,51.439667,-112.682400
124_ab_edmonton,Edmonton,124_ab,53.543564,-113.490452
124_ab_edson,Edson,124_ab,53.583500,-116.434502
