city,month,DownloadThroughputSplitByClientAndByServer,UploadThroughputSplitByClientAndByServer,RTTSplitByClientAndByServer,NetLimitedSplitByClientAndByServer,ClientLimitedSplitByClientAndByServer,WinScaleRcvdSplitByClientAndByServer,NumberOfClientsSplitByClientAndByServer
100_01_blagoevgrad,01-01-2011,2.299509,0.653293,98.000000,0.817551,0.171512,0.995935,355
100_01_blagoevgrad,02-01-2010,,0.603176,,,,,
100_01_blagoevgrad,02-01-2011,3.377109,0.676663,83.000000,0.646145,0.345295,0.682759,305
100_01_blagoevgrad,03-01-2010,,0.558636,98.000000,0.439361,0.556697,1.003021,
100_01_blagoevgrad,03-01-2011,3.471006,0.688292,82.000000,0.538685,0.455839,0.567961,269
100_01_blagoevgrad,04-01-2010,2.771607,0.578001,116.500000,0.411740,0.573068,1.260450,357
100_01_blagoevgrad,05-01-2010,2.881254,0.562037,120.000000,0.395203,0.599863,1.555252,418
100_01_blagoevgrad,06-01-2010,2.708227,0.545346,119.000000,0.490582,0.503413,1.282927,385
100_01_blagoevgrad,07-01-2010,2.965895,0.631181,113.000000,0.511619,0.481102,1.012681,322
100_01_blagoevgrad,07-01-2011,5.357484,0.724241,80.000000,0.696768,0.298450,1.284345,211
100_01_blagoevgrad,08-01-2010,,0.614485,116.500000,0.591858,0.401140,1.094340,
100_01_blagoevgrad,08-01-2011,4.609158,0.768572,84.000000,0.762645,0.231066,1.405797,202
100_01_blagoevgrad,09-01-2010,,0.643424,114.000000,0.374436,0.615968,0.813291,
100_01_blagoevgrad,09-01-2011,4.444883,0.801708,84.000000,0.622233,0.371624,1.164516,213
100_01_blagoevgrad,10-01-2010,3.187219,0.633047,116.000000,0.306219,0.682697,1.092072,240
100_01_blagoevgrad,11-01-2010,2.531358,0.611227,117.000000,0.568407,0.427057,0.766169,270
100_01_blagoevgrad,12-01-2010,3.481265,0.634601,98.000000,0.443621,0.547293,0.819127,310
100_01_dupnica,01-01-2011,,0.228911,130.000000,0.516812,0.470866,1.886525,
100_01_dupnica,02-01-2011,,0.220900,129.500000,0.631294,0.341145,1.698413,
100_01_dupnica,03-01-2011,,0.196239,130.000000,0.899274,0.059246,1.892116,
100_01_dupnica,05-01-2010,,0.823022,,,,,
100_01_dupnica,07-01-2011,,0.195761,,,,,
100_01_dupnica,08-01-2011,,0.180343,,,,,
100_01_dupnica,09-01-2011,,0.195603,,,,,
100_01_dupnica,12-01-2010,,0.231126,99.000000,0.242068,0.745695,1.043689,
100_01_sofia,01-01-2010,4.093322,0.645219,65.000000,0.803655,0.187432,1.512727,385
100_01_sofia,01-01-2011,3.213363,1.004442,93.000000,0.528662,0.463664,1.012925,5061
100_01_sofia,02-01-2010,4.553562,0.751896,66.000000,0.758071,0.236280,1.835042,2278
100_01_sofia,02-01-2011,4.158448,1.045717,85.000000,0.552354,0.436871,1.194064,4316
100_01_sofia,03-01-2010,3.666488,0.710767,93.000000,0.696896,0.294946,1.813297,4040
100_01_sofia,03-01-2011,4.428112,1.246659,81.000000,0.636770,0.357445,1.105193,4707
100_01_sofia,04-01-2010,3.384916,0.756870,91.000000,0.650653,0.342815,1.882007,7342
100_01_sofia,05-01-2010,3.834609,0.885806,91.000000,0.669126,0.322612,2.116550,7747
100_01_sofia,06-01-2010,3.414704,0.964238,98.000000,0.774255,0.217876,2.104464,7591
100_01_sofia,07-01-2010,3.340412,1.005802,100.000000,0.756314,0.236632,1.890635,6241
100_01_sofia,07-01-2011,5.172170,1.568378,78.000000,0.662239,0.328118,1.360465,3492
100_01_sofia,08-01-2010,3.330244,0.965470,96.000000,0.497663,0.496507,1.115061,3254
100_01_sofia,08-01-2011,4.615008,1.567258,83.000000,0.745147,0.248344,1.339144,3187
100_01_sofia,09-01-2010,3.256116,0.965735,98.000000,0.451002,0.541937,1.042763,3581
100_01_sofia,09-01-2011,4.927339,1.608500,80.000000,0.805856,0.182839,1.602109,3353
100_01_sofia,10-01-2010,3.294879,0.924613,92.000000,0.483186,0.507357,0.979992,4506
100_01_sofia,11-01-2010,3.735757,1.005868,88.000000,0.418200,0.574053,1.063415,4490
100_01_sofia,12-01-2010,3.243065,1.045598,92.000000,0.512082,0.478996,0.991283,4717
100_02_burgas,01-01-2010,,0.523329,,,,,
100_02_burgas,01-01-2011,2.410479,0.682767,105.000000,0.724207,0.257489,1.012830,918
100_02_burgas,02-01-2010,2.985073,0.646884,83.000000,0.428124,0.568869,1.489627,295
100_02_burgas,02-01-2011,3.470266,0.706683,91.000000,0.607910,0.386930,1.116667,680
100_02_burgas,03-01-2010,2.792919,0.620083,105.000000,0.434769,0.562053,1.233725,555
100_02_burgas,03-01-2011,3.581239,0.723046,89.000000,0.622734,0.366359,1.185312,796
100_02_burgas,04-01-2010,2.823448,0.643761,109.000000,0.602890,0.380827,1.696970,1127
100_02_burgas,05-01-2010,2.808305,0.643781,112.000000,0.668765,0.326689,1.804970,1177
100_02_burgas,06-01-2010,2.523371,0.639062,116.000000,0.737817,0.250338,1.758873,1208
100_02_burgas,07-01-2010,2.180029,0.638201,113.000000,0.787508,0.204027,1.684391,1207
100_02_burgas,07-01-2011,3.633635,0.713338,88.000000,0.766325,0.227821,1.456897,682
100_02_burgas,08-01-2010,2.276496,0.643760,112.000000,0.644871,0.340962,1.413255,663
100_02_burgas,08-01-2011,3.211162,0.712328,90.000000,0.640922,0.349078,1.269574,736
100_02_burgas,09-01-2010,2.344255,0.669029,118.000000,0.680539,0.302798,1.261928,704
100_02_burgas,09-01-2011,4.197304,0.724155,89.000000,0.679128,0.315555,1.256989,655
100_02_burgas,10-01-2010,2.314804,0.705331,119.500000,0.616797,0.378849,1.000851,809
100_02_burgas,11-01-2010,2.628606,0.683772,116.000000,0.584460,0.411761,0.968661,677
100_02_burgas,12-01-2010,2.738259,0.683488,102.000000,0.696582,0.294800,0.921507,884
100_02_pomorie,06-01-2010,,0.719749,107.000000,0.845644,0.149671,1.432692,
100_02_pomorie,07-01-2010,1.599256,0.684022,105.000000,0.906574,0.077523,2.182482,217
100_02_sliven,01-01-2011,2.705802,0.641773,99.000000,0.315367,0.678863,0.708333,309
100_02_sliven,02-01-2010,,0.603350,,,,,
100_02_sliven,02-01-2011,3.287851,0.663315,86.500000,0.417056,0.570219,0.638350,257
100_02_sliven,03-01-2010,1.993688,0.574689,104.500000,0.888719,0.101666,1.194444,230
100_02_sliven,03-01-2011,3.667377,0.683766,85.000000,0.290053,0.705601,0.796840,257
100_02_sliven,04-01-2010,2.001320,0.601500,120.000000,0.632981,0.360599,1.064516,355
100_02_sliven,05-01-2010,2.029087,0.582483,132.000000,0.640914,0.355329,1.074194,402
100_02_sliven,06-01-2010,2.667808,0.618302,120.000000,0.747646,0.242537,1.307818,424
100_02_sliven,07-01-2010,2.592777,0.628219,121.500000,0.675692,0.303148,1.057143,405
100_02_sliven,07-01-2011,4.708423,0.734125,81.000000,0.354636,0.641730,0.962637,258
100_02_sliven,08-01-2010,2.325057,0.673341,117.000000,0.674077,0.309956,0.655889,300
100_02_sliven,08-01-2011,,0.716804,86.000000,0.316228,0.676527,0.721739,
100_02_sliven,09-01-2010,1.892362,0.624461,115.000000,0.650971,0.341215,0.977716,252
100_02_sliven,09-01-2011,4.463983,0.758858,86.000000,0.604226,0.391603,1.072508,208
100_02_sliven,10-01-2010,1.751726,0.643106,117.000000,0.738970,0.253368,0.585586,331
100_02_sliven,11-01-2010,2.201866,0.619456,111.500000,0.792320,0.198838,0.927438,341
100_02_sliven,12-01-2010,3.085080,0.702373,101.000000,0.417222,0.579159,1.008097,306
100_02_yambol,01-01-2011,2.361035,1.399924,101.000000,0.926288,0.063241,1.297521,216
100_02_yambol,02-01-2011,2.306092,1.789144,94.000000,0.928121,0.059861,0.771536,207
100_02_yambol,03-01-2011,2.567772,2.048230,86.000000,0.947594,0.040431,0.740214,224
100_02_yambol,04-01-2010,,1.608051,109.500000,0.929282,0.055875,1.238095,
100_02_yambol,05-01-2010,2.401387,1.607133,109.500000,0.932178,0.050667,1.244526,214
100_02_yambol,06-01-2010,,1.366625,106.000000,0.948373,0.040267,1.739316,
100_02_yambol,07-01-2010,,1.646999,106.000000,0.929855,0.062638,1.508547,
100_02_yambol,07-01-2011,,2.171278,90.000000,0.899151,0.086355,1.254902,
100_02_yambol,10-01-2010,,1.005049,97.000000,0.881203,0.115821,0.202899,
100_02_yambol,11-01-2010,,1.327380,,,,,
100_02_yambol,12-01-2010,2.130144,1.669072,97.500000,0.936579,0.048208,1.195833,211
100_03_dobrich,01-01-2011,2.622024,1.205160,88.000000,0.935030,0.051592,0.535242,406
100_03_dobrich,02-01-2011,1.985765,1.266627,83.000000,0.950527,0.039742,0.396104,278
