country,name,latitude,longitude
100,Bulgaria,42.733883,25.485830
112,Belarus,53.709807,27.953389
124,Canada,56.130366,-106.346771
191,Croatia,45.815005,15.978501
196,Cyprus,35.126413,33.429859
20,Andorra,42.546245,1.601554
203,Czech Republic,49.817492,15.472962
208,Denmark,56.263920,9.501785
233,Estonia,58.595272,25.013607
246,Finland,61.924110,25.748151
250,France,46.227638,2.213749
276,Germany,51.165691,10.451526
300,Greece,39.074208,21.824312
348,Hungary,47.162494,19.503304
352,Iceland,64.963051,-19.020835
36,Australia,-25.274398,133.775136
372,Ireland,53.412910,-8.243890
380,Italy,41.871940,12.567380
40,Austria,47.516231,14.550072
428,Latvia,56.879635,24.603189
438,Liechtenstein,47.166000,9.555373
440,Lithuania,55.169438,23.881275
442,Luxembourg,49.815273,6.129583
470,Malta,35.937496,14.375416
484,Mexico,23.634501,-102.552784
492,Monaco,43.733333,7.416667
498,Moldova  Republic Of,47.411631,28.369885
499,Montenegro,42.708678,19.374390
528,Netherlands,52.132633,5.291266
554,New Zealand,-40.900557,174.885971
56,Belgium,50.503887,4.469936
578,Norway,60.472024,8.468946
616,Poland,51.919438,19.145136
620,Portugal,39.399872,-8.224454
642,Romania,45.943161,24.966760
688,Serbia,44.016521,21.005859
70,Bosnia And Herzegowina,43.915886,17.679076
703,Slovakia (slovak Republic),48.669026,19.699024
705,Slovenia,46.151241,14.995463
724,Spain,40.463667,-3.749220
752,Sweden,60.128161,18.643501
756,Switzerland,46.818188,8.227512
792,Turkey,38.963745,35.243322
8,Albania,41.153332,20.168331
804,Ukraine,48.379433,31.165580
807,Macedonia  The Former Yugoslav Republic Of,41.608635,21.745275
826,United Kingdom,55.378051,-3.435973
840,United States,37.090240,-95.712891
