country,month,DownloadThroughputSplitByClientAndByServer,UploadThroughputSplitByClientAndByServer,RTTSplitByClientAndByServer,NetLimitedSplitByClientAndByServer,ClientLimitedSplitByClientAndByServer,WinScaleRcvdSplitByClientAndByServer,NumberOfClientsSplitByClientAndByServer
100,01-01-2010,3.620696,0.643999,73.000000,0.840297,0.149589,1.539249,1248
100,01-01-2011,2.828515,0.766276,96.000000,0.699763,0.293518,0.929340,17308
100,02-01-2010,3.256594,0.683950,78.000000,0.805196,0.186669,1.511104,6739
100,02-01-2011,3.465397,0.801052,88.000000,0.680828,0.309520,1.030965,14921
100,03-01-2010,2.975786,0.681160,95.000000,0.722123,0.271080,1.497376,11732
100,03-01-2011,3.765277,0.844675,84.000000,0.683616,0.307995,0.991851,15632
100,04-01-2010,2.961690,0.683855,102.000000,0.660769,0.330626,1.530031,21285
100,05-01-2010,3.167802,0.723795,102.000000,0.651023,0.340302,1.754438,22451
100,06-01-2010,3.065407,0.732939,104.000000,0.725130,0.267918,1.766454,21332
100,07-01-2010,3.000782,0.755651,103.000000,0.715807,0.275964,1.566119,19098
100,07-01-2011,4.429814,1.005739,82.000000,0.744045,0.247161,1.304393,12062
100,08-01-2010,2.914149,0.743167,103.000000,0.585008,0.407679,1.053283,10997
100,08-01-2011,3.848724,0.965370,87.000000,0.781913,0.211422,1.224647,11132
100,09-01-2010,2.804170,0.760147,104.000000,0.626433,0.366689,0.964000,11809
100,09-01-2011,4.299202,1.125860,84.000000,0.791677,0.199974,1.418158,10852
100,10-01-2010,2.751629,0.762275,101.000000,0.618539,0.372239,0.879167,14598
100,11-01-2010,3.001429,0.790409,96.000000,0.596039,0.395791,0.946736,14441
100,12-01-2010,2.980459,0.788935,96.000000,0.658973,0.333902,0.915944,16008
112,01-01-2010,0.267750,0.204228,112.000000,0.971552,0.000000,1.458481,984
112,01-01-2011,0.521150,0.320475,170.000000,0.926442,0.048720,0.761271,17360
112,02-01-2010,0.259560,0.197245,131.000000,0.960583,0.000000,0.965740,2175
112,02-01-2011,0.945680,0.336655,137.000000,0.870992,0.117388,0.867951,13231
112,03-01-2010,0.266819,0.201666,110.000000,0.936030,0.010261,0.875575,5022
112,03-01-2011,0.974311,0.341000,155.000000,0.840587,0.148803,1.031514,13602
112,04-01-2010,0.267463,0.199834,113.000000,0.934967,0.014073,0.863984,8174
112,05-01-2010,0.267501,0.200828,110.000000,0.892975,0.053536,0.981339,7492
112,06-01-2010,0.267088,0.200916,121.000000,0.855873,0.122654,1.010144,6117
112,07-01-2010,0.267598,0.201815,124.000000,0.858495,0.121197,1.077426,6216
112,07-01-2011,0.973086,0.362054,131.000000,0.905965,0.076330,1.050607,11922
112,08-01-2010,0.518112,0.305500,137.000000,0.295475,0.688043,0.757814,6461
112,08-01-2011,1.021785,0.361025,131.000000,0.848443,0.143813,1.081041,10588
112,09-01-2010,0.498985,0.310542,123.000000,0.744699,0.238764,0.868128,6916
112,09-01-2011,1.028342,0.362136,126.000000,0.832046,0.157788,1.231473,9817
112,10-01-2010,0.443842,0.309929,126.000000,0.918024,0.056213,0.818918,8407
112,11-01-2010,0.499402,0.312530,131.000000,0.874890,0.105427,0.856994,8109
112,12-01-2010,0.519913,0.321898,136.000000,0.917975,0.063722,0.717160,12215
124,01-01-2010,2.751235,0.400808,50.000000,0.772636,0.216983,2.068474,6747
124,01-01-2011,4.316175,0.430346,44.000000,0.826601,0.161409,2.188262,90643
124,02-01-2010,3.511988,0.412909,47.000000,0.716251,0.273590,2.587096,72055
124,02-01-2011,4.372696,0.446433,47.000000,0.809375,0.178372,2.173001,71576
124,03-01-2010,3.343769,0.411328,48.000000,0.682185,0.309004,2.502891,111327
124,03-01-2011,4.451215,0.453578,44.000000,0.834404,0.151063,2.292654,72299
124,04-01-2010,3.566870,0.413362,49.000000,0.553330,0.438800,2.527255,93519
124,05-01-2010,3.841848,0.412951,50.000000,0.406296,0.585683,2.572432,85900
124,06-01-2010,3.713197,0.412152,49.000000,0.517325,0.475682,2.682103,75618
124,07-01-2010,3.608926,0.412296,49.000000,0.470103,0.522742,2.550920,64247
124,07-01-2011,4.213130,0.476559,52.000000,0.868923,0.112283,2.518658,63117
124,08-01-2010,3.191860,0.402429,50.000000,0.719962,0.264214,1.980888,105914
124,08-01-2011,4.228928,0.489272,50.000000,0.887573,0.091571,2.607969,63110
124,09-01-2010,3.112020,0.386441,48.000000,0.822397,0.164803,2.100291,114165
124,09-01-2011,4.394310,0.522752,51.000000,0.876623,0.111322,2.636388,55800
124,10-01-2010,3.134498,0.349314,46.000000,0.787121,0.201650,1.998592,92570
124,11-01-2010,3.323522,0.378830,44.000000,0.812645,0.175172,2.025001,91137
124,12-01-2010,4.346875,0.406610,43.000000,0.795912,0.193055,2.206285,94888
191,01-01-2010,2.719300,0.211049,60.000000,0.131711,0.855827,1.392615,724
191,01-01-2011,3.250051,0.215882,54.000000,0.146099,0.844431,1.596945,9072
191,02-01-2010,2.665954,0.211177,61.000000,0.165584,0.822488,1.489751,2659
191,02-01-2011,3.407722,0.217297,54.000000,0.156684,0.833347,1.620201,8092
191,03-01-2010,2.993458,0.214220,60.000000,0.120208,0.872013,1.811887,6362
191,03-01-2011,3.483876,0.217185,53.000000,0.158378,0.831182,1.776342,7906
191,04-01-2010,3.193798,0.215394,60.000000,0.094822,0.898191,1.856203,8557
191,05-01-2010,3.279105,0.216081,59.000000,0.100281,0.892813,1.936421,8495
191,06-01-2010,3.274872,0.216288,54.000000,0.101665,0.891136,2.102521,7447
191,07-01-2010,3.449965,0.215909,53.000000,0.091782,0.901584,2.026900,5983
191,07-01-2011,3.421752,0.216424,54.000000,0.167165,0.821024,1.918387,6078
191,08-01-2010,3.153139,0.212038,53.000000,0.120907,0.870640,1.618171,6258
191,08-01-2011,3.418614,0.220449,54.000000,0.124315,0.867817,1.963541,5363
191,09-01-2010,3.112916,0.214461,53.000000,0.142091,0.849243,1.534546,7764
191,09-01-2011,3.507551,0.223299,54.000000,0.204919,0.788351,2.170829,5614
191,10-01-2010,3.181710,0.213963,53.000000,0.139677,0.852262,1.517388,7708
191,11-01-2010,3.205227,0.214819,53.000000,0.158957,0.829082,1.523319,8333
191,12-01-2010,3.177460,0.215653,53.000000,0.147127,0.844140,1.676673,8292
196,01-01-2010,,0.229962,,,,,
196,01-01-2011,1.035446,0.285201,119.000000,0.932119,0.055779,2.105194,2522
196,02-01-2010,1.018372,0.215509,124.000000,0.770965,0.222323,1.781431,711
196,02-01-2011,1.967965,0.383945,104.000000,0.913800,0.072529,2.146064,2692
196,03-01-2010,0.995586,0.216518,130.000000,0.823532,0.159736,2.141960,1140
196,03-01-2011,2.155615,0.389787,93.000000,0.904386,0.084204,2.259416,2570
196,04-01-2010,1.026485,0.219009,112.000000,0.863195,0.128033,2.212173,2168
196,05-01-2010,1.026097,0.217664,112.000000,0.834854,0.149823,2.550656,2158
196,06-01-2010,1.024896,0.223533,112.000000,0.813112,0.175520,2.652623,1673
196,07-01-2010,1.051398,0.239757,109.000000,0.860441,0.124031,2.351890,1777
196,07-01-2011,2.262867,0.393948,95.000000,0.907351,0.079283,2.558679,1844
196,08-01-2010,1.007008,0.241155,109.000000,0.913117,0.073202,1.988006,2435
196,08-01-2011,2.207427,0.393818,96.000000,0.922766,0.062205,2.549645,2098
196,09-01-2010,0.936344,0.256243,107.000000,0.940711,0.045262,1.960518,2657
196,09-01-2011,2.278585,0.396148,94.000000,0.916664,0.067299,2.649960,2102
196,10-01-2010,0.964923,0.262804,96.000000,0.945660,0.041654,2.064802,2560
196,11-01-2010,0.991438,0.262392,100.000000,0.928600,0.058985,2.024655,1933
196,12-01-2010,1.008989,0.266508,110.000000,0.928635,0.058715,2.305673,2054
203,01-01-2010,3.346153,0.493572,41.000000,0.680109,0.313190,1.585959,1699
203,01-01-2011,3.655904,0.449832,39.000000,0.551971,0.437436,1.653046,22517
203,02-01-2010,2.863187,0.454302,46.000000,0.597479,0.394704,1.409964,5974
203,02-01-2011,3.556772,0.445073,40.000000,0.514178,0.477715,1.656289,19950
203,03-01-2010,3.231861,0.465706,43.000000,0.436837,0.555367,1.690401,15553
203,03-01-2011,3.798781,0.527573,39.000000,0.502477,0.486993,1.794244,19146
203,04-01-2010,3.593551,0.481499,41.000000,0.343615,0.646630,1.801366,18944
203,05-01-2010,3.660532,0.570725,41.000000,0.360971,0.631505,1.898374,19621
203,06-01-2010,3.792169,0.562977,40.000000,0.347140,0.645705,2.062903,16770
203,07-01-2010,3.784823,0.485721,40.000000,0.326059,0.667644,2.028385,16838
203,07-01-2011,4.511058,0.790018,38.000000,0.493630,0.496039,2.002720,16495
203,08-01-2010,3.672458,0.441250,40.000000,0.430810,0.560144,1.629243,15525
