region,month,DownloadThroughputSplitByClientAndByServer,UploadThroughputSplitByClientAndByServer,RTTSplitByClientAndByServer,NetLimitedSplitByClientAndByServer,ClientLimitedSplitByClientAndByServer,WinScaleRcvdSplitByClientAndByServer,NumberOfClientsSplitByClientAndByServer
100_01,01-01-2010,3.927334,0.643756,65.000000,0.780367,0.209637,1.525338,411
100_01,01-01-2011,3.060723,0.924558,94.000000,0.536488,0.455590,1.042770,5649
100_01,02-01-2010,4.432514,0.745072,68.000000,0.730844,0.260765,1.798246,2410
100_01,02-01-2011,3.967984,0.964720,85.000000,0.552607,0.436677,1.185290,4846
100_01,03-01-2010,3.555769,0.687198,93.000000,0.671193,0.323753,1.757634,4299
100_01,03-01-2011,4.269456,1.165532,82.000000,0.625864,0.365396,1.102046,5171
100_01,04-01-2010,3.326584,0.737849,92.000000,0.623088,0.370055,1.834523,7835
100_01,05-01-2010,3.756465,0.843844,92.000000,0.630424,0.361636,2.070844,8313
100_01,06-01-2010,3.374565,0.885084,98.000000,0.756693,0.235165,2.061335,8107
100_01,07-01-2010,3.320876,0.965100,100.000000,0.728161,0.265346,1.826878,6672
100_01,07-01-2011,5.028973,1.447972,78.000000,0.679627,0.312309,1.371870,3873
100_01,08-01-2010,3.286930,0.923958,96.000000,0.487140,0.507292,1.121042,3500
100_01,08-01-2011,4.489276,1.447987,84.000000,0.747942,0.245332,1.349513,3542
100_01,09-01-2010,3.225945,0.925188,99.000000,0.429412,0.564986,1.035720,3818
100_01,09-01-2011,4.826835,1.529145,80.000000,0.799871,0.188555,1.576222,3694
100_01,10-01-2010,3.275205,0.874970,93.000000,0.464049,0.529626,0.976446,4826
100_01,11-01-2010,3.642196,0.965200,89.000000,0.417926,0.574235,1.050574,4828
100_01,12-01-2010,3.200952,0.964847,92.000000,0.488992,0.502595,0.991739,5173
100_02,01-01-2010,,0.536135,,,,,
100_02,01-01-2011,2.531492,0.683893,103.000000,0.722640,0.272209,0.960435,1549
100_02,02-01-2010,2.730563,0.664556,82.000000,0.739815,0.252308,1.384405,495
100_02,02-01-2011,3.223620,0.721477,90.000000,0.638133,0.356047,0.963768,1220
100_02,03-01-2010,2.608942,0.626128,105.000000,0.679662,0.315261,1.230345,941
100_02,03-01-2011,3.387885,0.742758,87.000000,0.609983,0.385861,1.040692,1330
100_02,04-01-2010,2.605883,0.663636,110.000000,0.665253,0.324671,1.520295,1779
100_02,05-01-2010,2.590240,0.663901,113.000000,0.703049,0.286194,1.573630,1915
100_02,06-01-2010,2.522885,0.643264,116.000000,0.795656,0.193259,1.635465,1972
100_02,07-01-2010,2.197756,0.643569,112.000000,0.794772,0.188415,1.586957,2027
100_02,07-01-2011,3.746729,0.757686,86.000000,0.748787,0.238932,1.299180,1221
100_02,08-01-2010,2.212495,0.667013,110.000000,0.731281,0.256845,1.189312,1206
100_02,08-01-2011,3.194529,0.735969,89.000000,0.699576,0.295717,1.151255,1167
100_02,09-01-2010,2.208205,0.688145,115.000000,0.736940,0.250286,1.161905,1210
100_02,09-01-2011,4.019324,0.764182,88.000000,0.706945,0.285471,1.158667,1061
100_02,10-01-2010,2.221488,0.719546,116.000000,0.695123,0.297821,0.820111,1418
100_02,11-01-2010,2.425424,0.698921,110.000000,0.742594,0.250065,0.839404,1286
100_02,12-01-2010,2.705164,0.715061,101.000000,0.724116,0.269217,0.964536,1506
100_03,01-01-2010,,0.707183,76.000000,0.907770,0.087882,2.077626,
100_03,01-01-2011,2.976171,0.682962,99.000000,0.724744,0.270861,0.867143,1832
100_03,02-01-2010,3.089660,0.691886,82.000000,0.846331,0.139481,1.473108,739
100_03,02-01-2011,3.267673,0.684002,91.000000,0.774876,0.216812,0.914987,1612
