region_isp,month,DownloadThroughputSplitByClientAndByServer,UploadThroughputSplitByClientAndByServer,RTTSplitByClientAndByServer,NetLimitedSplitByClientAndByServer,ClientLimitedSplitByClientAndByServer,WinScaleRcvdSplitByClientAndByServer,NumberOfClientsSplitByClientAndByServer
100_01_12716,01-01-2011,,0.063588,190.000000,0.530876,0.440697,1.559140,
100_01_12716,02-01-2011,,0.073698,181.000000,0.880068,0.056073,1.590361,
100_01_12716,03-01-2011,0.242732,0.132893,179.000000,0.938195,0.011845,1.663043,212
100_01_12716,07-01-2011,,0.133405,,,,,
100_01_12716,08-01-2011,,0.156263,,,,,
100_01_12716,09-01-2011,,0.142013,,,,,
100_01_12716,11-01-2010,,0.064035,,,,,
100_01_12716,12-01-2010,,0.062809,170.000000,0.664690,0.317677,0.768939,
100_01_13124,01-01-2011,3.203855,0.965470,82.000000,0.466133,0.522071,0.880052,485
100_01_13124,02-01-2010,,0.681417,63.000000,0.901274,0.092199,0.971292,
100_01_13124,02-01-2011,5.000778,1.045008,79.000000,0.340872,0.651142,0.827988,370
100_01_13124,03-01-2010,3.545924,0.487349,75.000000,0.835285,0.153213,1.608911,265
100_01_13124,03-01-2011,5.180434,1.407622,72.000000,0.202943,0.787871,0.644269,404
100_01_13124,04-01-2010,3.492576,0.603058,76.000000,0.632401,0.359681,1.537500,502
100_01_13124,05-01-2010,3.305444,0.603083,93.000000,0.756194,0.235426,1.669065,542
100_01_13124,06-01-2010,3.540396,0.689906,90.000000,0.837714,0.150850,1.942819,486
100_01_13124,07-01-2010,3.017381,0.686217,98.000000,0.820524,0.166550,1.752747,343
100_01_13124,07-01-2011,5.314904,1.809966,74.000000,0.440840,0.545659,1.305369,363
100_01_13124,08-01-2010,3.175864,0.609253,95.000000,0.537036,0.455023,0.978469,250
100_01_13124,08-01-2011,3.109583,1.728602,85.000000,0.583065,0.412064,0.996283,336
100_01_13124,09-01-2010,3.240020,0.683895,92.000000,0.593554,0.400521,0.865772,270
100_01_13124,09-01-2011,4.668578,1.930856,74.000000,0.756385,0.239510,1.628627,330
100_01_13124,10-01-2010,3.250608,0.964695,90.000000,0.427642,0.567913,0.804067,317
100_01_13124,11-01-2010,2.756732,1.030160,88.000000,0.877986,0.113011,0.934903,503
100_01_13124,12-01-2010,2.803732,1.166611,81.000000,0.864279,0.129489,1.075269,507
100_01_29580,01-01-2011,,2.009571,95.000000,0.512084,0.484119,1.584158,
100_01_29580,02-01-2010,,2.452165,58.000000,0.721032,0.274022,2.187215,
100_01_29580,02-01-2011,,2.148490,93.000000,0.604470,0.390652,1.750943,
100_01_29580,03-01-2010,7.161128,2.409720,84.000000,0.922239,0.055210,3.122283,266
100_01_29580,03-01-2011,,2.431351,86.000000,0.558288,0.431372,1.625442,
100_01_29580,04-01-2010,6.427093,2.211396,84.000000,0.766785,0.229160,2.396527,448
100_01_29580,05-01-2010,6.477688,2.090750,86.000000,0.838605,0.157570,2.929252,487
100_01_29580,06-01-2010,6.669543,2.250676,87.000000,0.808030,0.181794,2.847512,424
100_01_29580,07-01-2010,5.137900,2.292037,87.000000,0.813855,0.162698,2.376448,335
100_01_29580,07-01-2011,,3.256234,83.000000,0.661824,0.334380,1.968379,
100_01_29580,08-01-2010,,2.210890,84.000000,0.315338,0.677675,1.132616,
100_01_29580,08-01-2011,,2.891302,86.000000,0.531464,0.465556,1.849593,
100_01_29580,09-01-2010,,2.470284,89.000000,0.422788,0.574259,1.528777,
100_01_29580,09-01-2011,,3.009366,85.000000,0.573479,0.420535,1.820312,
100_01_29580,10-01-2010,5.069273,2.814463,82.000000,0.539470,0.455246,1.264151,208
100_01_29580,11-01-2010,,2.652746,80.000000,0.275223,0.718291,1.501538,
100_01_29580,12-01-2010,,2.249497,92.000000,0.434857,0.558539,1.328025,
100_01_31250,01-01-2011,,0.643579,104.000000,0.683567,0.308283,1.022222,
100_01_31250,03-01-2010,,0.357498,,,,,
100_01_31250,04-01-2010,2.463214,0.337936,113.000000,0.869461,0.119729,1.596386,286
100_01_31250,05-01-2010,2.443118,0.367412,114.000000,0.914156,0.074097,2.667638,302
100_01_31250,06-01-2010,2.473157,0.392355,111.000000,0.900855,0.086924,2.410765,309
100_01_31250,07-01-2010,3.239585,0.491051,101.000000,0.833883,0.156397,1.724806,224
100_01_31250,10-01-2010,,0.383992,,,,,
100_01_31250,11-01-2010,,0.346123,,,,,
100_01_31250,12-01-2010,,0.563220,,,,,
100_01_35141,01-01-2010,,0.284314,,,,,
100_01_35141,01-01-2011,5.569026,1.929682,98.000000,0.126607,0.866897,1.386555,593
100_01_35141,02-01-2010,7.704019,0.323346,56.000000,0.727745,0.260790,2.171429,361
100_01_35141,02-01-2011,6.372719,2.129930,92.000000,0.302362,0.693357,1.585028,651
100_01_35141,03-01-2010,3.939119,0.346417,112.000000,0.857785,0.136219,2.256743,710
100_01_35141,03-01-2011,5.209717,2.535340,88.000000,0.738290,0.257431,1.397634,933
100_01_35141,04-01-2010,6.051227,1.005249,90.000000,0.612988,0.379670,2.550542,1319
100_01_35141,05-01-2010,13.823749,1.968218,89.000000,0.169243,0.821753,2.638245,1246
100_01_35141,06-01-2010,3.432816,1.224672,101.000000,0.887006,0.100306,2.677169,1657
100_01_35141,07-01-2010,3.288586,1.607916,101.000000,0.888781,0.101179,2.603900,1365
100_01_35141,07-01-2011,8.377820,3.101510,84.000000,0.775483,0.220830,1.767766,675
100_01_35141,08-01-2010,4.474375,1.911857,94.500000,0.262335,0.719576,1.544118,469
100_01_35141,08-01-2011,7.193423,3.073122,86.000000,0.774292,0.215174,1.841317,565
100_01_35141,09-01-2010,5.906546,1.928938,103.000000,0.149736,0.846057,1.685149,529
100_01_35141,09-01-2011,5.552922,3.531078,85.000000,0.894922,0.098895,1.964432,681
100_01_35141,10-01-2010,4.990832,1.968016,89.000000,0.313131,0.674346,1.458075,765
100_01_35141,11-01-2010,10.792524,2.090170,82.000000,0.105615,0.888726,1.365635,579
100_01_35141,12-01-2010,8.567789,2.008767,96.000000,0.114574,0.877322,1.391955,496
100_01_35249,01-01-2011,1.042478,1.125795,113.000000,0.986849,0.000000,0.158798,231
100_01_35249,03-01-2011,,1.003575,,,,,
100_01_35249,04-01-2010,1.463816,0.586778,96.000000,0.986484,0.000274,1.808333,233
100_01_35249,05-01-2010,1.279776,0.622709,98.000000,0.986916,0.000270,2.231672,334
100_01_35249,06-01-2010,1.394744,0.533419,110.000000,0.985062,0.000368,1.871080,283
100_01_35249,10-01-2010,,0.763527,,,,,
100_01_35249,11-01-2010,1.053692,0.804056,84.000000,0.988354,0.000000,1.183962,211
100_01_35249,12-01-2010,1.025427,1.205706,97.000000,0.993466,0.000000,0.980392,248
100_01_39184,05-01-2010,,0.844323,93.500000,0.183875,0.812401,1.463964,
100_01_39184,06-01-2010,,0.844624,94.000000,0.308292,0.688338,1.761468,
100_01_39184,07-01-2010,,0.843852,,,,,
100_01_39246,01-01-2011,,2.689240,75.000000,0.107944,0.885944,0.875000,
100_01_39246,02-01-2011,,2.611457,72.000000,0.128403,0.863583,1.379630,
