region_isp,mlab_site,month,DownloadThroughputSplitByClientAndByServer,UploadThroughputSplitByClientAndByServer,RTTSplitByClientAndByServer,NetLimitedSplitByClientAndByServer,ClientLimitedSplitByClientAndByServer,WinScaleRcvdSplitByClientAndByServer,NumberOfClientsSplitByClientAndByServer
100_01_12716,GR-Athens,01-01-2011,,0.083799,,,,,
100_01_12716,GR-Athens,02-01-2011,,0.124948,,,,,
100_01_12716,GR-Athens,03-01-2011,,0.156233,,,,,
100_01_12716,GR-Athens,12-01-2010,,0.068626,,,,,
100_01_13124,GR-Athens,01-01-2011,2.972213,1.005540,84.000000,0.336347,0.655931,0.722807,343
100_01_13124,GR-Athens,02-01-2011,4.935757,1.050481,82.000000,0.246412,0.739347,0.846918,265
100_01_13124,GR-Athens,03-01-2010,,0.586724,76.000000,0.821917,0.162563,1.693227,
100_01_13124,GR-Athens,03-01-2011,5.194922,1.486969,73.000000,0.208468,0.787068,0.737542,331
100_01_13124,GR-Athens,04-01-2010,3.445809,0.603867,78.000000,0.620913,0.370935,1.538344,406
100_01_13124,GR-Athens,05-01-2010,3.341147,0.611450,94.000000,0.680771,0.306402,1.730137,462
100_01_13124,GR-Athens,06-01-2010,3.612595,0.723688,91.000000,0.845199,0.147746,2.035061,422
100_01_13124,GR-Athens,07-01-2010,2.967020,0.683762,98.000000,0.773488,0.216651,1.733888,297
100_01_13124,GR-Athens,07-01-2011,4.968740,1.770020,76.000000,0.339278,0.656033,1.057208,262
100_01_13124,GR-Athens,08-01-2010,,0.608136,96.000000,0.497566,0.478160,0.993921,
100_01_13124,GR-Athens,08-01-2011,2.840037,1.687273,88.000000,0.681203,0.314286,1.051111,279
100_01_13124,GR-Athens,09-01-2010,3.161654,0.755872,93.500000,0.522686,0.471840,1.034783,206
100_01_13124,GR-Athens,09-01-2011,4.062616,1.889712,74.000000,0.723797,0.258160,1.359036,265
100_01_13124,GR-Athens,10-01-2010,3.218247,1.005478,91.000000,0.361479,0.629922,0.971564,249
100_01_13124,GR-Athens,11-01-2010,2.617991,1.085777,89.000000,0.869087,0.120940,0.929220,381
100_01_13124,GR-Athens,12-01-2010,2.803732,1.205992,82.000000,0.825834,0.151645,1.144954,369
100_01_29580,GR-Athens,01-01-2011,,1.941182,97.500000,0.385577,0.610819,1.367257,
100_01_29580,GR-Athens,02-01-2011,,2.148490,94.000000,0.593096,0.403112,1.947867,
100_01_29580,GR-Athens,03-01-2010,,2.292175,86.000000,0.934665,0.049389,3.228070,
100_01_29580,GR-Athens,03-01-2011,,2.332515,87.000000,0.585127,0.399003,1.603306,
100_01_29580,GR-Athens,04-01-2010,6.583638,2.209468,85.000000,0.686987,0.304715,2.430605,351
100_01_29580,GR-Athens,05-01-2010,6.023579,2.090554,87.000000,0.854093,0.141973,2.988430,397
100_01_29580,GR-Athens,06-01-2010,6.300456,2.171209,88.000000,0.808405,0.179886,2.905380,362
100_01_29580,GR-Athens,07-01-2010,4.602226,2.271023,88.000000,0.856785,0.132930,2.478060,273
100_01_29580,GR-Athens,08-01-2010,,2.292110,84.500000,0.177234,0.803617,1.034188,
100_01_29580,GR-Athens,09-01-2010,,2.408098,90.000000,0.448536,0.546891,1.522634,
100_01_29580,GR-Athens,10-01-2010,,2.490618,83.000000,0.570134,0.426276,1.485477,
