region,mlab_site,month,DownloadThroughputSplitByClientAndByServer,UploadThroughputSplitByClientAndByServer,RTTSplitByClientAndByServer,NetLimitedSplitByClientAndByServer,ClientLimitedSplitByClientAndByServer,WinScaleRcvdSplitByClientAndByServer,NumberOfClientsSplitByClientAndByServer
100_01,DE-Hamburg,01-01-2011,5.808087,1.166348,50.000000,0.377676,0.614014,1.015358,365
100_01,DE-Hamburg,02-01-2011,6.862154,1.126177,49.000000,0.495141,0.498347,1.220036,372
100_01,DE-Hamburg,03-01-2010,6.438136,0.763799,48.000000,0.629645,0.363280,1.820565,330
100_01,DE-Hamburg,03-01-2011,7.246911,1.326854,48.000000,0.600711,0.387138,1.156322,287
100_01,DE-Hamburg,04-01-2010,5.215975,0.794319,48.000000,0.576761,0.413114,1.759804,411
100_01,DE-Hamburg,05-01-2010,5.683002,0.844731,48.000000,0.736414,0.257462,2.331429,335
100_01,DE-Hamburg,06-01-2010,6.323934,1.205866,47.000000,0.651625,0.340699,2.130435,312
100_01,DE-Hamburg,07-01-2010,6.007581,1.125453,49.000000,0.672684,0.323311,1.595573,315
100_01,DE-Hamburg,07-01-2011,8.524063,2.034861,47.000000,0.725119,0.270100,1.662437,274
100_01,DE-Hamburg,08-01-2010,6.773431,0.845150,49.000000,0.312417,0.682973,1.241176,213
100_01,DE-Hamburg,08-01-2011,8.670364,1.748884,47.000000,0.702743,0.279995,1.470588,242
100_01,DE-Hamburg,09-01-2010,5.482612,0.938163,49.000000,0.223926,0.771410,0.937965,238
100_01,DE-Hamburg,09-01-2011,,1.849029,48.000000,0.870541,0.124039,1.889286,
100_01,DE-Hamburg,10-01-2010,6.369060,1.209581,48.000000,0.325251,0.661295,0.798450,318
100_01,DE-Hamburg,11-01-2010,6.788635,0.814967,49.500000,0.397145,0.581489,1.020570,405
100_01,DE-Hamburg,12-01-2010,6.063413,1.126269,49.000000,0.389845,0.590186,0.769608,375
100_01,FR-Paris,01-01-2011,2.648107,0.724075,60.500000,0.682577,0.309211,0.748408,422
100_01,FR-Paris,02-01-2010,,0.882815,50.000000,0.661497,0.323015,1.200000,
100_01,FR-Paris,02-01-2011,3.939467,0.765165,60.000000,0.490913,0.505911,0.562271,352
100_01,FR-Paris,03-01-2010,3.614695,0.723614,55.000000,0.450897,0.545572,0.685185,200
100_01,FR-Paris,03-01-2011,3.900037,1.084969,54.000000,0.663474,0.325752,0.536822,360
100_01,FR-Paris,04-01-2010,4.637444,0.723774,55.000000,0.318190,0.677552,1.087146,263
100_01,FR-Paris,05-01-2010,4.706827,0.683942,53.000000,0.477818,0.497877,1.116809,232
100_01,FR-Paris,06-01-2010,,0.922123,55.000000,0.391060,0.606581,0.825959,
100_01,FR-Paris,07-01-2010,,1.045583,55.000000,0.575920,0.418758,0.835616,
100_01,FR-Paris,07-01-2011,6.023114,1.331315,53.000000,0.664622,0.327654,1.110439,452
100_01,FR-Paris,08-01-2010,,0.767656,54.000000,0.406039,0.585804,0.248826,
100_01,FR-Paris,09-01-2010,,0.781411,56.000000,0.246805,0.736345,0.502959,
100_01,FR-Paris,10-01-2010,4.024603,0.799954,56.000000,0.264909,0.729012,0.050239,240
100_01,FR-Paris,11-01-2010,4.635341,0.791427,55.000000,0.395490,0.585411,0.454175,317
100_01,FR-Paris,12-01-2010,3.145081,0.737080,59.000000,0.422134,0.566035,0.538462,324
100_01,GR-Athens,01-01-2010,,0.684076,,,,,
100_01,GR-Athens,01-01-2011,3.052594,0.964478,97.000000,0.498088,0.494360,1.037192,4234
100_01,GR-Athens,02-01-2010,4.110030,0.764500,88.000000,0.459612,0.532920,1.731419,675
100_01,GR-Athens,02-01-2011,3.950646,1.005031,87.000000,0.529023,0.465243,1.232609,3572
100_01,GR-Athens,03-01-2010,3.311205,0.722517,103.000000,0.671624,0.321617,1.930761,2430
100_01,GR-Athens,03-01-2011,4.277148,1.205334,83.000000,0.588271,0.404618,1.165673,4007
100_01,GR-Athens,04-01-2010,3.196747,0.750186,96.000000,0.641980,0.350638,1.916634,6403
100_01,GR-Athens,05-01-2010,3.646687,0.844468,93.000000,0.628890,0.363043,2.113112,7082
100_01,GR-Athens,06-01-2010,3.290791,0.885043,100.000000,0.777668,0.214239,2.143316,7012
100_01,GR-Athens,07-01-2010,3.206248,0.965301,100.000000,0.743464,0.251172,1.910377,5736
100_01,GR-Athens,07-01-2011,4.711461,1.487968,81.000000,0.659390,0.334698,1.367618,2748
100_01,GR-Athens,08-01-2010,3.091412,0.965531,99.000000,0.488473,0.506737,1.157074,2801
100_01,GR-Athens,08-01-2011,4.301652,1.448280,85.000000,0.743834,0.251120,1.348518,2867
100_01,GR-Athens,09-01-2010,3.044121,0.964037,102.000000,0.464377,0.529575,1.097861,3062
100_01,GR-Athens,09-01-2011,4.585645,1.528645,81.000000,0.795931,0.193674,1.499634,2932
100_01,GR-Athens,10-01-2010,3.094959,0.855133,98.000000,0.491399,0.501177,1.102547,3763
100_01,GR-Athens,11-01-2010,3.316942,1.005635,92.000000,0.403413,0.589585,1.105167,3648
100_01,GR-Athens,12-01-2010,3.096059,1.011075,95.000000,0.462653,0.529137,1.028431,3871
100_01,GR-Athens-2,09-01-2011,,2.212512,81.000000,0.938317,0.053126,2.964567,
100_01,NL-Amsterdam,01-01-2011,,1.166425,,,,,
100_01,NL-Amsterdam,02-01-2010,6.546492,0.797012,46.000000,0.804515,0.188572,1.685714,262
100_01,NL-Amsterdam,03-01-2010,6.150654,0.764134,45.000000,0.723284,0.273065,1.691275,210
100_01,NL-Amsterdam,04-01-2010,,0.844531,45.000000,0.434558,0.561960,1.150000,
100_01,NL-Amsterdam,05-01-2010,,1.005615,,,,,
100_01,NL-Amsterdam,06-01-2010,,0.714873,,,,,
100_01,NL-Amsterdam,07-01-2011,,1.905500,,,,,
100_01,NL-Amsterdam,10-01-2010,,1.186080,46.000000,0.164989,0.830948,0.152709,
100_01,NL-Amsterdam,11-01-2010,,0.884745,,,,,
100_01,NL-Amsterdam,12-01-2010,,0.806868,46.000000,0.438889,0.536061,0.747788,
100_01,NL-Amsterdam-2,02-01-2010,6.734101,0.804808,49.000000,0.584083,0.410138,1.943939,456
100_01,NL-Amsterdam-2,03-01-2010,,0.764392,50.000000,0.842637,0.149747,1.479675,
100_01,UK-London,01-01-2011,,0.883206,51.000000,0.532631,0.429631,1.268551,
100_01,UK-London,02-01-2010,5.757111,0.779056,53.000000,0.830933,0.162394,1.885615,424
100_01,UK-London,02-01-2011,,1.038360,50.000000,0.492671,0.489509,1.101942,
100_01,UK-London,03-01-2010,5.358795,0.724005,53.000000,0.720458,0.275339,1.881259,473
100_01,UK-London,03-01-2011,,1.406469,48.000000,0.881476,0.115410,1.024490,
100_01,UK-London,04-01-2010,5.560260,0.804368,52.000000,0.655696,0.339795,1.742081,271
100_01,UK-London,05-01-2010,5.243969,1.084842,52.000000,0.559594,0.434049,1.864721,247
100_01,UK-London,06-01-2010,5.031285,1.126098,52.000000,0.717787,0.278622,1.739884,244
100_01,UK-London,07-01-2010,,1.125930,51.000000,0.655046,0.339064,1.687023,
100_01,UK-London,07-01-2011,,1.183534,49.000000,0.537932,0.444953,1.412037,
100_01,UK-London,08-01-2011,,1.769009,,,,,
100_01,UK-London,09-01-2011,,1.608321,47.000000,0.618249,0.378150,1.138095,
100_01,UK-London,12-01-2010,,0.924993,53.000000,0.647608,0.339475,1.383275,
100_01,US-NY-NewYork,02-01-2010,,0.602944,,,,,
100_01,US-NY-NewYork,03-01-2010,,0.472821,130.000000,0.569826,0.419486,1.213930,
100_02,FR-Paris,07-01-2011,,0.804491,65.000000,0.741606,0.250104,1.375610,
100_02,GR-Athens,01-01-2011,2.557514,0.696863,107.000000,0.679319,0.314133,0.986957,1209
100_02,GR-Athens,02-01-2010,,0.642796,88.000000,0.754670,0.241715,1.381166,
100_02,GR-Athens,02-01-2011,3.343295,0.723910,92.000000,0.622677,0.373191,1.095938,969
100_02,GR-Athens,03-01-2010,2.675711,0.641969,109.000000,0.625557,0.367329,1.425860,529
100_02,GR-Athens,03-01-2011,3.465206,0.745397,89.000000,0.572379,0.423045,1.064375,1067
100_02,GR-Athens,04-01-2010,2.512750,0.657256,113.000000,0.633626,0.359931,1.570000,1421
100_02,GR-Athens,05-01-2010,2.627045,0.651748,117.000000,0.690422,0.296668,1.602395,1573
100_02,GR-Athens,06-01-2010,2.473904,0.639548,118.000000,0.754524,0.238149,1.680669,1598
100_02,GR-Athens,07-01-2010,2.277345,0.643799,114.000000,0.828497,0.155421,1.675251,1631
100_02,GR-Athens,07-01-2011,3.746729,0.763615,88.000000,0.713186,0.280658,1.307568,891
100_02,GR-Athens,08-01-2010,2.159721,0.653864,115.000000,0.772709,0.217548,1.311649,909
100_02,GR-Athens,08-01-2011,3.329278,0.755452,91.000000,0.698540,0.297025,1.247407,967
100_02,GR-Athens,09-01-2010,2.181692,0.710354,120.000000,0.756181,0.237399,1.299001,940
100_02,GR-Athens,09-01-2011,3.966570,0.763777,90.000000,0.729522,0.267422,1.145679,857
100_02,GR-Athens,10-01-2010,2.193576,0.723584,120.000000,0.754184,0.239791,0.978920,1102
100_02,GR-Athens,11-01-2010,2.324862,0.700255,118.000000,0.721826,0.266020,0.872431,987
100_02,GR-Athens,12-01-2010,2.820048,0.720908,103.000000,0.711351,0.283070,1.048292,1177
100_03,DE-Hamburg,01-01-2011,,0.759527,60.000000,0.873142,0.116850,0.819905,
100_03,DE-Hamburg,12-01-2010,,0.955427,57.500000,0.818699,0.172974,1.090476,
100_03,FR-Paris,07-01-2011,,0.683743,74.000000,0.853455,0.141888,1.084942,
100_03,FR-Paris,12-01-2010,,0.712300,,,,,
100_03,GR-Athens,01-01-2010,,0.684273,,,,,
100_03,GR-Athens,01-01-2011,2.877661,0.662545,105.000000,0.693179,0.303362,0.955927,1331
100_03,GR-Athens,02-01-2010,2.694929,0.683709,86.000000,0.865516,0.127692,1.149068,236
100_03,GR-Athens,02-01-2011,3.279354,0.683383,93.000000,0.775395,0.211858,0.984309,1152
100_03,GR-Athens,03-01-2010,2.620042,0.661697,108.000000,0.812561,0.174560,1.647000,665
100_03,GR-Athens,03-01-2011,3.421773,0.707844,91.000000,0.796890,0.196845,0.952947,1366
100_03,GR-Athens,04-01-2010,2.822194,0.638086,108.000000,0.650265,0.336445,1.547324,1625
100_03,GR-Athens,05-01-2010,2.936314,0.643102,110.000000,0.667358,0.324638,1.718967,1657
100_03,GR-Athens,06-01-2010,3.043752,0.643518,110.000000,0.650121,0.342436,1.794778,1541
100_03,GR-Athens,07-01-2010,3.053429,0.629992,117.000000,0.745599,0.241513,1.709924,1393
100_03,GR-Athens,07-01-2011,4.247747,0.683331,90.000000,0.793567,0.199550,1.244310,924
100_03,GR-Athens,08-01-2010,2.893840,0.625670,118.000000,0.613091,0.371225,1.103448,762
100_03,GR-Athens,08-01-2011,3.615123,0.676246,92.000000,0.878807,0.107824,1.207435,998
100_03,GR-Athens,09-01-2010,2.624439,0.611917,121.000000,0.683395,0.312058,0.986172,905
100_03,GR-Athens,09-01-2011,4.195317,0.720985,90.000000,0.877849,0.113287,1.409129,855
100_03,GR-Athens,10-01-2010,2.451758,0.633128,118.000000,0.781858,0.205886,0.920025,1131
100_03,GR-Athens,11-01-2010,2.895231,0.637899,115.000000,0.659629,0.329526,0.868706,1047
100_03,GR-Athens,12-01-2010,3.144137,0.661112,102.000000,0.595028,0.400446,0.815035,1203
100_03,UK-London,03-01-2010,,0.688741,76.000000,0.827643,0.167412,1.583691,
100_04,FR-Paris,07-01-2011,,0.796239,,,,,
100_04,GR-Athens,01-01-2010,,0.720884,,,,,
100_04,GR-Athens,01-01-2011,2.790781,0.683611,103.000000,0.806639,0.182860,0.899217,1359
100_04,GR-Athens,02-01-2010,2.926523,0.701745,85.000000,0.871951,0.117227,1.462838,204
100_04,GR-Athens,02-01-2011,3.138958,0.724017,93.000000,0.748549,0.242697,0.962230,1187
100_04,GR-Athens,03-01-2010,2.948975,0.683636,104.000000,0.703335,0.282314,1.153761,589
100_04,GR-Athens,03-01-2011,3.489888,0.776556,88.000000,0.823562,0.170972,0.942711,1254
100_04,GR-Athens,04-01-2010,2.866898,0.681033,105.000000,0.760446,0.234752,1.239588,1633
100_04,GR-Athens,05-01-2010,3.066075,0.663196,109.000000,0.605401,0.389276,1.450163,1778
100_04,GR-Athens,06-01-2010,2.951459,0.663234,114.000000,0.718162,0.273727,1.494588,1629
100_04,GR-Athens,07-01-2010,3.021912,0.683701,108.000000,0.734834,0.257285,1.413043,1549
100_04,GR-Athens,07-01-2011,4.274749,0.801404,85.000000,0.807976,0.183485,1.161039,825
100_04,GR-Athens,08-01-2010,2.893400,0.654486,109.000000,0.711753,0.279878,1.028024,906
100_04,GR-Athens,08-01-2011,3.927525,0.803883,89.000000,0.771768,0.218685,1.181521,882
100_04,GR-Athens,09-01-2010,2.674252,0.675317,112.000000,0.734348,0.260757,0.997746,921
100_04,GR-Athens,09-01-2011,4.188287,0.804439,87.000000,0.819936,0.161432,1.342585,821
100_04,GR-Athens,10-01-2010,2.607208,0.643624,114.000000,0.775454,0.216237,0.936020,1095
100_04,GR-Athens,11-01-2010,2.848680,0.675734,110.000000,0.780259,0.209258,1.043705,1076
100_04,GR-Athens,12-01-2010,2.732256,0.685755,101.000000,0.837845,0.155520,0.854648,1314
100_04,UK-London,03-01-2010,,0.803116,,,,,
100_05,GR-Athens,01-01-2011,2.941745,1.005553,98.000000,0.818193,0.176273,0.717391,547
100_05,GR-Athens,02-01-2011,3.423345,1.124769,90.000000,0.851237,0.137908,1.169492,479
100_05,GR-Athens,03-01-2010,3.153086,0.779329,95.000000,0.695565,0.298894,1.400000,207
100_05,GR-Athens,03-01-2011,3.504574,0.965225,85.000000,0.709456,0.285554,1.053665,541
100_05,GR-Athens,04-01-2010,3.154987,0.713493,94.000000,0.651888,0.334573,1.153762,628
100_05,GR-Athens,05-01-2010,3.245654,0.799281,98.000000,0.725388,0.268582,1.745275,766
100_05,GR-Athens,06-01-2010,3.043745,0.782816,107.000000,0.547213,0.445478,1.595657,625
100_05,GR-Athens,07-01-2010,3.167698,0.832872,103.000000,0.639723,0.354071,1.267898,608
100_05,GR-Athens,07-01-2011,4.192031,1.059032,83.000000,0.698582,0.295311,1.379237,340
100_05,GR-Athens,08-01-2010,2.926251,0.925249,96.000000,0.778765,0.213929,1.026639,344
100_05,GR-Athens,08-01-2011,2.867862,1.054835,85.500000,0.916826,0.068557,1.377510,371
100_05,GR-Athens,09-01-2010,2.269763,1.045699,101.000000,0.853133,0.143602,1.123260,344
100_05,GR-Athens,09-01-2011,3.380692,1.166312,84.000000,0.854742,0.141700,1.471513,378
100_05,GR-Athens,10-01-2010,2.295015,1.166229,100.000000,0.777597,0.212695,0.988836,419
100_05,GR-Athens,11-01-2010,2.439225,1.164288,97.000000,0.824401,0.172198,0.847328,461
100_05,GR-Athens,12-01-2010,2.580706,1.027964,100.000000,0.825271,0.160287,1.093278,539
100_06,DE-Hamburg,11-01-2010,,0.763994,59.000000,0.572159,0.417641,0.802752,
100_06,DE-Hamburg,12-01-2010,,0.803265,56.000000,0.468921,0.525333,0.743842,
100_06,FR-Paris,01-01-2011,,0.759530,,,,,
100_06,FR-Paris,02-01-2011,,0.708933,,,,,
100_06,FR-Paris,07-01-2011,,1.507349,57.000000,0.564222,0.432568,1.255814,
100_06,FR-Paris,12-01-2010,,0.788914,,,,,
100_06,GR-Athens,01-01-2010,,0.591452,,,,,
100_06,GR-Athens,01-01-2011,2.963699,0.713913,99.000000,0.600021,0.394995,0.769578,1704
100_06,GR-Athens,02-01-2010,3.224506,0.684102,85.000000,0.380417,0.613316,1.185185,211
100_06,GR-Athens,02-01-2011,3.878544,0.793798,88.000000,0.483297,0.507807,0.872378,1457
100_06,GR-Athens,03-01-2010,3.410749,0.663121,102.000000,0.437472,0.555426,1.451334,725
100_06,GR-Athens,03-01-2011,4.312003,0.844914,84.000000,0.556682,0.435678,1.040336,1539
100_06,GR-Athens,04-01-2010,3.318668,0.662575,102.000000,0.493830,0.497554,1.404915,1978
