isp,name
1,Level 3 Communications
10010,VICTOKAI
10013,FreeBit
10029,FIRST FIBRE BROADBAND NETWORK IN NEW DELHI
10030,Celcom Internet Service Provider
10036,C&M Communication
10066,CJ-CABLENET
10081,DiGi Telecommunications Sdn Bhd
10089,Total Access Communication
10091,StarHub Cable Vision
10094,BruNet ISP
101,University of Washington
10113,DATAFAST TELECOMMUNICATIONS
10139,Smart Broadband
10143,Exetel
10164,TBROAD GANGSEO
10191,C&M Ulsan Cable TV
10199,Tata Communications
10201,Dishnet Wireless Broadband Wireless
10269,Belize Telemedia
10292,CWJAMAICA
10293,Servicios
10299,EMCATEL
10311,Road Runner
10318,CABLEVISION
10368,RCN
10396,DATACOM CARIBE
10429,Telefonica Empresas
10456,AT&T Services
10474,MWEB-10474
10481,Prima
10482,Shaw Communications
10490,Georgia Institute of Technology
10507,Sprint Personal Communications Systems
10620,Telmex Colombia
10687,DISTRIBUTEL COMMUNICATIONS
10719,Verizon Online
10728,T-Mobile USA
10780,One Communications
10784,MCI Communications Services
10805,XO Communications
10834,Telefonica de Argentina
10838,Oceanic Internet
10937,Centennial de Puerto Rico
10983,Telecom Argentina
10996,Concorde
1102,SURFnet
11055,US Cable of Paramus-Hillsdale
11079,Allstream
11081,United Telecommunication Services (UTS)
11139,CW BARBADOS
11158,NTT America
11172,Alestra
11232,Midcontinent Media
11260,EastLink
11290,COGECO Cable Canada
11315,Telefónica Móviles Argentina (Movistar Argentina)
11349,Windstream Communications
1136,KPN Internet Solutions
11380,INTERNETOFFICEPARKS
11398,Embarq
11444,Primus Telecommunications
11456,Windstream Nuvox
11489,Bell Canada
11492,CABLE ONE
11536,Sunrise Communications
11556,Cable & Wireless Panama
11664,Techtel LMDS Comunicaciones Interactivas
11666,Nexicom
11776,Atlantic Broadband Finance
11796,Airstream Communications
11816,SetarNet
11818,BRIGHT HOUSE NETWORKS
11830,Instituto Costarricense de Electricidad y Telecom.
11888,Television Internacional
11976,Fidelity Networks
11979,Bluegrass Network
12003,Integra Telecom
12015,Sunflower Broadband
12064,Cox Communications
12066,TRICOM
12083,Knology
