month,DownloadThroughputSplitByClientAndByServer,UploadThroughputSplitByClientAndByServer,RTTSplitByClientAndByServer,NetLimitedSplitByClientAndByServer,ClientLimitedSplitByClientAndByServer,WinScaleRcvdSplitByClientAndByServer,NumberOfClientsSplitByClientAndByServer
01-01-2010,1.410448,0.320020,90.000000,0.734891,0.249849,1.741000,271255
01-01-2011,1.797278,0.409669,76.000000,0.831157,0.149679,1.774286,2834562
02-01-2010,2.063236,0.366012,63.000000,0.640007,0.347867,2.145132,1276915
02-01-2011,1.806418,0.415948,77.000000,0.835055,0.145385,1.814655,2452213
03-01-2010,1.818824,0.384437,67.000000,0.676888,0.309999,1.974840,2506122
03-01-2011,1.865765,0.415311,78.000000,0.831513,0.148189,1.903171,2449461
04-01-2010,1.684421,0.364541,71.000000,0.697056,0.288703,1.924552,2919729
05-01-2010,1.748496,0.372011,72.000000,0.682377,0.303886,1.987232,2959406
06-01-2010,1.855112,0.389903,73.000000,0.682143,0.304638,2.069158,2626328
07-01-2010,1.796059,0.389909,77.000000,0.646747,0.340601,1.957066,2338093
07-01-2011,2.279614,0.445341,75.000000,0.799282,0.180499,2.126436,2054410
08-01-2010,1.964636,0.398585,68.000000,0.707213,0.277091,1.749266,2572817
08-01-2011,2.250038,0.463237,76.000000,0.821853,0.156502,2.180199,1886593
09-01-2010,1.937609,0.395252,67.000000,0.760302,0.222786,1.790519,2680178
09-01-2011,2.341842,0.486250,79.000000,0.819563,0.160255,2.237945,1696446
10-01-2010,1.785228,0.391646,72.000000,0.766445,0.216657,1.744233,2651237
11-01-2010,1.795527,0.400417,70.000000,0.782881,0.199705,1.752855,2597336
12-01-2010,1.870853,0.406360,73.000000,0.809604,0.171587,1.786662,2694431
