isp,month,DownloadThroughputSplitByClientAndByServer,UploadThroughputSplitByClientAndByServer,RTTSplitByClientAndByServer,NetLimitedSplitByClientAndByServer,ClientLimitedSplitByClientAndByServer,WinScaleRcvdSplitByClientAndByServer,NumberOfClientsSplitByClientAndByServer
1,01-01-2011,1.430551,0.457209,58.000000,0.911628,0.068897,1.983730,642
1,02-01-2010,0.970591,0.308496,83.000000,0.738802,0.250682,2.090354,569
1,02-01-2011,1.437447,0.504612,57.500000,0.885261,0.097171,2.193955,622
1,03-01-2010,0.923207,0.361186,73.000000,0.731522,0.253390,1.763047,990
1,03-01-2011,2.049034,0.588992,44.000000,0.928284,0.054408,2.357043,590
1,04-01-2010,1.107984,0.301463,60.000000,0.774652,0.217012,1.841513,683
1,05-01-2010,1.322853,0.288855,55.000000,0.772094,0.207049,2.171069,568
1,06-01-2010,1.332692,0.291624,56.000000,0.835253,0.150280,2.306258,551
1,07-01-2010,1.333698,0.258590,68.000000,0.784063,0.203149,2.352394,534
1,07-01-2011,2.838068,0.516087,45.000000,0.934968,0.048995,2.643411,651
1,08-01-2010,1.374172,0.329975,58.000000,0.880122,0.103141,1.981928,617
1,08-01-2011,3.003269,0.558658,40.000000,0.947037,0.036441,2.772840,706
1,09-01-2010,1.458394,0.396745,52.000000,0.905029,0.085095,2.035343,736
1,09-01-2011,3.697607,0.692688,35.000000,0.942238,0.045275,2.718670,671
1,10-01-2010,1.371472,0.404294,52.500000,0.892249,0.092417,1.764286,653
1,11-01-2010,1.427667,0.477525,53.000000,0.898011,0.080549,1.770905,668
1,12-01-2010,1.350133,0.439731,60.000000,0.901605,0.071889,2.094626,698
10010,01-01-2011,1.379940,1.166425,201.000000,0.534362,0.447734,1.440994,363
10010,02-01-2010,1.550116,1.446069,144.000000,0.907042,0.071383,2.053030,560
10010,02-01-2011,2.372989,1.367623,154.000000,0.372343,0.595243,1.434720,385
10010,03-01-2010,0.957344,1.406642,145.000000,0.922615,0.057078,2.098473,935
10010,03-01-2011,2.551127,1.407380,147.000000,0.332947,0.648007,1.250326,392
10010,04-01-2010,0.784103,1.367850,146.000000,0.916209,0.060127,1.967638,847
10010,05-01-2010,0.742828,1.366950,144.000000,0.940636,0.041189,2.184742,974
10010,06-01-2010,1.054191,1.405736,145.000000,0.928800,0.052534,2.317276,873
10010,07-01-2010,0.842736,1.407308,145.000000,0.915142,0.068250,1.868178,801
10010,07-01-2011,1.767204,1.363676,179.000000,0.731376,0.242819,1.679648,498
10010,08-01-2010,1.271713,1.407291,147.000000,0.803767,0.156301,1.573770,513
10010,08-01-2011,2.195753,1.420242,254.000000,0.632806,0.337441,1.724832,344
10010,09-01-2010,1.241526,1.407391,148.000000,0.829636,0.154678,1.630841,515
10010,09-01-2011,2.024086,1.326631,214.500000,0.607228,0.370854,1.565147,352
10010,10-01-2010,1.277925,1.366772,156.000000,0.815212,0.156468,1.750670,459
10010,11-01-2010,1.769337,1.366605,185.000000,0.436359,0.550599,1.550512,363
10010,12-01-2010,1.985774,1.325192,196.000000,0.299236,0.673390,1.256554,247
10013,01-01-2011,0.033422,0.079298,223.000000,0.976305,0.010087,1.235495,749
10013,02-01-2010,0.975060,0.158019,152.000000,0.927037,0.053749,1.827515,353
10013,02-01-2011,0.063907,0.092511,183.000000,0.964857,0.021488,1.454208,1367
10013,03-01-2010,1.415892,0.124162,152.000000,0.791116,0.193035,1.697970,495
10013,03-01-2011,0.181153,0.093327,185.000000,0.945302,0.032777,1.484979,1604
10013,04-01-2010,0.880777,0.108928,152.000000,0.891178,0.096338,1.660886,701
10013,05-01-2010,1.009204,0.114342,152.000000,0.884517,0.094320,1.803534,682
10013,06-01-2010,0.737057,0.106924,151.000000,0.918648,0.060834,2.032700,683
10013,07-01-2010,1.399643,0.151061,150.000000,0.897092,0.079547,2.033084,678
10013,07-01-2011,1.004424,0.763679,211.000000,0.911546,0.055699,1.902655,1212
10013,08-01-2010,1.025696,0.126752,168.000000,0.750234,0.228235,1.633333,633
10013,08-01-2011,0.860624,0.603489,250.000000,0.907278,0.065836,1.845710,988
10013,09-01-2010,0.495756,0.093424,171.000000,0.911273,0.073846,1.827925,755
10013,09-01-2011,0.694255,0.529094,264.000000,0.924150,0.049807,1.853893,931
10013,10-01-2010,0.178526,0.088608,204.000000,0.938440,0.041707,1.866205,692
10013,11-01-2010,0.098098,0.090887,218.500000,0.939051,0.038714,1.847205,639
10013,12-01-2010,0.096772,0.090688,231.000000,0.928313,0.046193,1.547619,582
10029,01-01-2011,0.215766,0.244983,279.500000,0.721764,0.244569,1.351027,394
10029,02-01-2010,,0.182825,,,,,
10029,02-01-2011,0.257029,0.302222,272.000000,0.706768,0.258194,1.704274,396
10029,03-01-2010,,0.186889,289.000000,0.854746,0.107398,0.790441,
10029,03-01-2011,0.264089,0.280612,258.000000,0.633782,0.335345,1.717730,460
10029,04-01-2010,0.212372,0.185168,285.000000,0.829396,0.111823,0.886420,289
10029,05-01-2010,0.265609,0.195010,281.000000,0.715239,0.253584,1.450000,372
10029,06-01-2010,0.247988,0.197695,287.500000,0.719540,0.233827,1.000000,346
10029,07-01-2010,0.313749,0.199671,282.000000,0.693668,0.277366,1.111298,404
10029,07-01-2011,0.302762,0.294647,276.000000,0.731901,0.235613,1.265734,483
