isp,mlab_site,month,DownloadThroughputSplitByClientAndByServer,UploadThroughputSplitByClientAndByServer,RTTSplitByClientAndByServer,NetLimitedSplitByClientAndByServer,ClientLimitedSplitByClientAndByServer,WinScaleRcvdSplitByClientAndByServer,NumberOfClientsSplitByClientAndByServer
1,US-FL-Miami,06-01-2010,,0.258270,,,,,
1,US-FL-Miami,07-01-2010,,0.260229,,,,,
1,US-GA-Atlanta,09-01-2010,,0.334534,,,,,
1,US-GA-Atlanta,10-01-2010,,0.340199,,,,,
1,US-TX-Dallas,01-01-2011,2.262844,0.510744,52.000000,0.915597,0.071872,2.211207,201
1,US-TX-Dallas,02-01-2010,,0.354591,,,,,
1,US-TX-Dallas,02-01-2011,,0.681986,40.000000,0.870318,0.108379,2.047826,
1,US-TX-Dallas,03-01-2010,0.855602,0.336225,95.000000,0.795493,0.199730,1.907895,217
1,US-TX-Dallas,03-01-2011,3.277078,0.810432,36.000000,0.919625,0.061480,2.496094,208
1,US-TX-Dallas,04-01-2010,,0.281331,83.000000,0.756360,0.231171,2.179487,
1,US-TX-Dallas,05-01-2010,,0.264174,,,,,
1,US-TX-Dallas,06-01-2010,,0.273663,,,,,
1,US-TX-Dallas,07-01-2010,,0.239884,,,,,
1,US-TX-Dallas,07-01-2011,4.973791,0.557153,33.000000,0.937885,0.052047,2.777293,209
1,US-TX-Dallas,08-01-2010,,0.355410,,,,,
1,US-TX-Dallas,08-01-2011,4.547349,0.563020,35.000000,0.944473,0.043416,2.673540,264
1,US-TX-Dallas,09-01-2010,,0.363071,55.000000,0.894510,0.093774,2.222222,
1,US-TX-Dallas,09-01-2011,5.660877,0.601313,35.000000,0.948679,0.035671,2.880399,280
1,US-TX-Dallas,10-01-2010,,0.505405,38.000000,0.879427,0.109730,2.028037,
1,US-TX-Dallas,11-01-2010,,0.467085,49.000000,0.880549,0.105238,1.881057,
1,US-TX-Dallas,12-01-2010,,0.438669,,0.889422,0.092834,1.658416,
