mlab_site,month,DownloadThroughputSplitByClientAndByServer,UploadThroughputSplitByClientAndByServer,RTTSplitByClientAndByServer,NetLimitedSplitByClientAndByServer,ClientLimitedSplitByClientAndByServer,WinScaleRcvdSplitByClientAndByServer,NumberOfClientsSplitByClientAndByServer
AU-NSW-Sydney,01-01-2011,1.082778,0.401761,291.000000,0.645397,0.333671,1.781727,163587
AU-NSW-Sydney,02-01-2011,0.959951,0.390846,289.000000,0.721427,0.255498,1.793005,134220
AU-NSW-Sydney,03-01-2011,0.839576,0.380798,281.000000,0.795851,0.174616,1.984628,165759
AU-NSW-Sydney,06-01-2010,0.851128,0.362221,289.000000,0.635343,0.347558,1.757096,139156
AU-NSW-Sydney,07-01-2010,0.956047,0.395852,292.000000,0.466469,0.517854,1.577050,156601
AU-NSW-Sydney,07-01-2011,1.233650,0.411387,289.000000,0.736431,0.239956,2.074084,138766
AU-NSW-Sydney,08-01-2010,0.953384,0.372890,279.000000,0.659254,0.320114,1.593855,173283
AU-NSW-Sydney,08-01-2011,1.277703,0.423729,284.000000,0.756960,0.216926,2.161132,147208
AU-NSW-Sydney,09-01-2010,1.044116,0.352115,232.000000,0.767290,0.207150,1.776456,179298
AU-NSW-Sydney,09-01-2011,1.331614,0.411065,274.000000,0.785668,0.187083,2.294694,129219
AU-NSW-Sydney,10-01-2010,0.983613,0.343178,225.000000,0.763717,0.211608,1.784936,173086
AU-NSW-Sydney,11-01-2010,1.002498,0.352181,244.000000,0.738845,0.235597,1.820765,155911
AU-NSW-Sydney,12-01-2010,1.086051,0.376372,277.000000,0.649162,0.330435,1.792410,149302
DE-Hamburg,01-01-2011,3.140645,0.492688,48.000000,0.655747,0.332027,1.830635,462385
DE-Hamburg,02-01-2011,2.969825,0.506818,48.000000,0.685288,0.301128,1.848415,389875
DE-Hamburg,03-01-2010,2.222488,0.498703,54.000000,0.506641,0.482987,1.840176,307974
DE-Hamburg,03-01-2011,3.414732,0.522277,47.000000,0.668574,0.316170,1.976940,394407
DE-Hamburg,04-01-2010,2.438554,0.487313,51.000000,0.495468,0.494203,1.934849,481679
DE-Hamburg,05-01-2010,2.665940,0.510472,50.000000,0.437678,0.550682,1.967233,507351
DE-Hamburg,06-01-2010,2.886881,0.512452,46.000000,0.450863,0.539456,2.149402,417921
DE-Hamburg,07-01-2010,2.891965,0.498042,45.000000,0.440528,0.550206,2.078441,360646
DE-Hamburg,07-01-2011,3.985271,0.585111,46.000000,0.601821,0.384406,2.175296,282935
DE-Hamburg,08-01-2010,3.054345,0.452533,46.000000,0.540162,0.447482,1.834537,408294
DE-Hamburg,08-01-2011,4.384659,0.608984,46.000000,0.604686,0.384418,2.252789,300644
DE-Hamburg,09-01-2010,2.925195,0.449590,48.000000,0.651476,0.333056,1.873931,446035
DE-Hamburg,09-01-2011,4.618430,0.643949,46.000000,0.654219,0.333626,2.330715,262907
DE-Hamburg,10-01-2010,2.964360,0.455091,48.000000,0.633948,0.353274,1.845274,436550
DE-Hamburg,11-01-2010,2.951842,0.458595,48.000000,0.647906,0.339282,1.829259,445226
DE-Hamburg,12-01-2010,3.075623,0.475818,48.000000,0.635542,0.350519,1.813852,440736
FR-Paris,01-01-2010,1.872007,0.339075,64.000000,0.753315,0.233316,1.801989,54057
FR-Paris,01-01-2011,2.014998,0.348423,68.000000,0.779795,0.205224,1.671519,391131
FR-Paris,02-01-2010,2.280728,0.315397,65.000000,0.519685,0.468886,1.734899,113278
FR-Paris,02-01-2011,2.043933,0.353437,68.000000,0.774706,0.210111,1.692585,323515
FR-Paris,03-01-2010,2.066064,0.307486,64.000000,0.570366,0.417223,1.722493,231834
FR-Paris,03-01-2011,2.120889,0.352022,68.000000,0.797748,0.186359,1.769786,320000
FR-Paris,04-01-2010,2.146944,0.310819,63.000000,0.617720,0.370221,1.848605,402599
FR-Paris,05-01-2010,2.347897,0.321858,63.000000,0.607112,0.380894,1.947832,389781
FR-Paris,06-01-2010,2.433034,0.329014,63.000000,0.616130,0.372706,2.069701,317296
FR-Paris,07-01-2010,2.376019,0.329685,64.000000,0.574159,0.414566,1.975789,272092
FR-Paris,07-01-2011,2.435549,0.393614,69.000000,0.782167,0.201793,1.949368,327719
FR-Paris,08-01-2010,2.469341,0.347146,61.000000,0.636887,0.350553,1.652810,311132
FR-Paris,08-01-2011,2.652890,0.385173,64.000000,0.765945,0.219499,2.026120,72916
FR-Paris,09-01-2010,2.414729,0.353657,61.000000,0.719862,0.266158,1.690199,362929
FR-Paris,10-01-2010,2.147073,0.348538,63.000000,0.754968,0.231153,1.654215,380270
FR-Paris,11-01-2010,2.083361,0.347599,62.000000,0.757825,0.228178,1.660292,404480
FR-Paris,12-01-2010,2.105979,0.350662,66.000000,0.756671,0.228690,1.686713,374076
GR-Athens,01-01-2010,1.086918,0.281496,107.000000,0.837101,0.142527,1.705321,2256
GR-Athens,01-01-2011,0.786424,0.327729,149.000000,0.864486,0.112095,1.402975,487681
GR-Athens,02-01-2010,0.691869,0.241233,164.000000,0.740808,0.234406,1.197375,62511
GR-Athens,02-01-2011,0.834437,0.338282,141.000000,0.866175,0.110754,1.474688,430198
GR-Athens,03-01-2010,0.645915,0.241406,169.000000,0.791972,0.180756,1.368139,201559
GR-Athens,03-01-2011,0.871420,0.337913,140.000000,0.856130,0.120474,1.565406,477398
GR-Athens,04-01-2010,0.661693,0.249360,155.000000,0.829005,0.144629,1.436102,488462
GR-Athens,05-01-2010,0.710620,0.255575,152.000000,0.834389,0.140346,1.529249,573154
GR-Athens,06-01-2010,0.848467,0.283912,139.000000,0.815011,0.161606,1.591384,466407
GR-Athens,07-01-2010,0.840828,0.297490,140.000000,0.800287,0.177115,1.503193,407276
GR-Athens,07-01-2011,1.056097,0.341864,147.000000,0.846772,0.127826,1.758952,371405
GR-Athens,08-01-2010,0.727858,0.290565,158.000000,0.823178,0.152209,1.364281,350368
GR-Athens,08-01-2011,0.874609,0.344421,145.000000,0.886013,0.089484,1.774366,441529
GR-Athens,09-01-2010,0.724122,0.299092,158.000000,0.843229,0.131883,1.394331,380969
GR-Athens,09-01-2011,1.107853,0.358119,140.000000,0.865983,0.110135,1.849706,424295
GR-Athens,10-01-2010,0.734070,0.310992,155.000000,0.849413,0.126011,1.394882,433621
GR-Athens,11-01-2010,0.746939,0.314746,150.000000,0.850949,0.125249,1.389211,397847
GR-Athens,12-01-2010,0.793393,0.321963,145.000000,0.845024,0.130612,1.383485,440974
GR-Athens-2,09-01-2011,2.292103,0.490094,98.000000,0.896781,0.085886,3.030333,21479
NL-Amsterdam,01-01-2010,2.050649,0.426347,53.000000,0.671082,0.318580,1.822619,28471
NL-Amsterdam,01-01-2011,1.735609,0.524155,65.000000,0.829137,0.155884,1.538355,220326
NL-Amsterdam,02-01-2010,2.531674,0.429889,49.000000,0.510159,0.479058,1.991933,76523
NL-Amsterdam,02-01-2011,1.833685,0.517595,66.000000,0.800007,0.184941,1.625828,182988
NL-Amsterdam,03-01-2010,1.331110,0.473909,68.000000,0.854565,0.131658,1.500959,200048
